P1,P2,P3,P4,x1,y1,z1,x2,y2,z2,r,label
1,1,0,0,-1.59,-10.43,5.03,-1.7,-10.06,1.78,382,3
1,1,0,0,-0.39,-9.26,-0.5,-1.43,-8.51,-2.23,336,4
1,1,0,0,-0.89,-10.72,3.52,-4.56,-10.23,-2.62,269,4
1,1,0,0,-0.75,-11.17,1.16,1.84,-8.24,1.23,197,4
1,1,0,0,-0.65,-10.34,-1.06,1.84,-11.16,-0.21,157,4
1,0,1,0,0.43,-11.43,1.53,1.96,-15.89,-5.64,155,4
1,0,1,0,-3.84,-12.24,-2.59,4.55,-11.3,-0.76,155,4
1,0,1,0,1.18,-14.28,-0.38,1.66,-9.44,-0.49,155,4
0,0,1,1,2.42,-4.95,14.64,-0.19,-9.59,0.82,155,4
0,0,1,1,0.07,-3.82,2.45,-1.69,-9.39,-2.12,156,4
0,0,1,1,0.02,-6.88,-0.2,1.78,-9.52,-0.24,148,4
0,0,1,1,-2.36,-5.88,10.07,0.9,-8.74,-2.69,134,1
0,0,1,1,-4.65,-10.58,7.17,0.32,-5.84,11.79,129,1
0,0,1,1,-3.03,-10.73,-3.29,1.33,-9.29,-1.6,110,2
0,0,1,1,0.99,-9.98,2.98,-1.16,-9.75,-1.61,99,2
0,0,1,1,0.29,-10.13,2.52,-1.37,-9.56,-0.71,100,2
0,0,1,1,-5.64,-8.72,-1.53,-0.16,-9.45,0.73,100,2
0,1,0,1,1.4,-8.72,2.09,0.34,-9.49,-2.13,101,2
0,1,0,1,3.01,-9.19,-2.27,-3.79,-13.26,2.13,101,2
0,1,0,1,-1.26,-9.96,-0.82,3.12,-14.91,1.54,131,2
0,1,0,0,-1.3,-9.78,-0.97,-2.41,-11.91,1.98,217,2
0,1,0,0,-2.82,-9.67,-2.48,-1.06,-8.17,0.1,297,2
0,1,0,0,-0.64,-9.92,0.87,-1.74,-5.04,-1.18,356,2
1,1,0,0,1.25,-8.53,-5.66,-8.26,-4.34,3.78,372,3
1,1,0,0,1.05,-8.59,-1,-3.73,-5.57,5.15,373,3
1,1,0,0,-1.23,-9.89,-1.96,-4.15,-8.39,2.6,373,3
1,1,0,0,-1.03,-10.06,-0.45,-1.32,-7.52,0.63,373,4
1,1,0,0,-1.7,-9.74,-0.04,-0.18,-8.84,0,336,4
1,1,0,0,-1.71,-9.89,0.89,1.64,-9.16,1.41,267,4
1,1,0,0,-0.79,-10.09,0.83,-1.96,-9.61,-8.82,192,4
1,0,0,0,-0.67,-10.03,2.19,-3.86,-16.36,0.31,149,4
1,0,1,0,-1.97,-12.58,-0.16,0.74,-11.9,-9.83,149,4
1,0,1,0,4.78,-11.95,2.88,1.55,-15.36,1.13,150,4
